strategy,model,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std
class_weight,Lasso-LR,0.710921791831631,0.03569422095177168,0.4649486297051464,0.07405620994174993,0.7299284236411083,0.038437083667908364
class_weight,K-NN,0.8024571031114356,0.013841826354269735,0.10128336769702995,0.06868214752535783,0.6544845666737865,0.04554523439603909
class_weight,SVC-RBF,0.8102380222519763,0.015124163144906543,0.24427404573072226,0.06228445558632841,0.6812431126871601,0.04958884204191656
class_weight,XGBoost,0.8063154971824179,0.013079843495264686,0.42371105774822676,0.08198648896352285,0.7166332659832886,0.049422273098797515
class_weight,GPC,0.8403006602690791,0.00752943138914924,0.4361687052791348,0.06617524393594722,0.7521981599927422,0.041726629151226734
SMOTE,Lasso-LR,0.6989064185474245,0.03017282939843716,0.45409843924423177,0.06925671881877245,0.7202115833114018,0.03948555390967333
SMOTE,K-NN,0.530842139385417,0.017150929422258432,0.3721519137163061,0.05165324512869763,0.6339813805565492,0.036029026046187296
SMOTE,SVC-RBF,0.7899702950793438,0.01772335966723964,0.3542419558022162,0.08062650794740035,0.6669133986560797,0.053354578283080815
SMOTE,XGBoost,0.774438450350259,0.026846224197184194,0.4301895901292777,0.09901910608082024,0.7009960328429912,0.05995806865417706
SMOTE,GPC,0.7665614283179192,0.01316145014996217,0.4131706057352818,0.061970692641013826,0.6947820570027943,0.046592444722160974
RandomOverSample,Lasso-LR,0.7101363746771134,0.023129463867147846,0.46025660598319956,0.06324094117474413,0.7249160601360856,0.03544697249515279
RandomOverSample,K-NN,0.6796229473863526,0.02139298727261245,0.3711507291191099,0.0608504355771215,0.6380750953717899,0.0407400489666238
RandomOverSample,SVC-RBF,0.797801244307721,0.005892526299432771,0.37327727114669174,0.06963131124493975,0.6810422340168886,0.04966961627434598
RandomOverSample,XGBoost,0.8108311378985527,0.021987758655556796,0.4250168608063345,0.10470971631288484,0.7158406508260685,0.0589829981430755
RandomOverSample,GPC,0.7825087818049861,0.0112306292187385,0.4246619488796156,0.05227535496405072,0.6979473135774338,0.045155544515452756
